,Player Name,Age,Overall Rating,Potential,Best Overall,Team,League,League Tier,Positions,Best Position,Height,Weight,foot,Growth,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,PAC,SHO,PAS,DRI,DEF,PHY,Value (M),Total Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,Freekick Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total Defending,Marking,Standing Tackle,Sliding Tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Total Base Stats,Joined,Loan Date End,contract_end_at_club,contract_started_at_club,years_at_club,Release Clause (M),Player ID,Image Page,Info Page,Team ID,Team Image Page
10,K. Mbappé,21,90,95,91,Paris Saint-Germain,French Ligue 1,1,ST LW RW,ST,178,73.0,Right,5,4 ★,5★,High,Low,96,86,78,91,39,76,105.5,93.36,78,91,73,83,83,83.83,92,79,63,70,90,98.71,96,96,92,92,82,90.99,86,77,86,76,79,81.0,62,38,91,80,70,84,36.76,34,34,32,9.55,13,5,7,11,6,92.7,93.57,"Jul 1, 2018",,2022,2018,2.0,203.1,231747,https://cdn.sofifa.com/players/231/747/20_240.png,https://sofifa.com/player/231747/,73,https://cdn.sofifa.com/teams/73/dark_240.png
11,M. ter Stegen,28,90,93,90,FC Barcelona,Spain Primera Division,1,GK,GK,188,84.8,Right,3,4 ★,1★,Medium,Medium,88,85,88,90,45,88,69.5,27.0,18,14,11,61,14,30.64,21,18,12,63,30,54.74,38,50,37,86,43,60.36,66,79,35,78,10,40.62,43,22,11,70,25,70,17.65,25,13,10,99.77,88,85,88,88,90,62.26,97.19,"Jul 1, 2014",,2022,2014,6.0,147.7,192448,https://cdn.sofifa.com/players/192/448/20_240.png,https://sofifa.com/player/192448/,241,https://cdn.sofifa.com/teams/241/dark_240.png
12,S. Agüero,32,89,89,89,Manchester City,English Premier League,1,ST,ST,173,69.9,Right,0,4 ★,4★,High,Medium,78,90,77,88,33,73,53.0,94.05,70,94,78,83,86,84.47,88,83,73,64,89,91.38,79,78,84,92,91,90.77,89,78,78,74,84,81.0,65,24,94,83,75,91,30.51,30,29,24,13.41,13,15,6,11,14,91.45,88.15,"Jul 28, 2011",,2021,2011,9.0,98.1,153079,https://cdn.sofifa.com/players/153/079/20_240.png,https://sofifa.com/player/153079/,10,https://cdn.sofifa.com/teams/10/dark_240.png
13,M. Neuer,34,89,89,89,FC Bayern München,German 1. Bundesliga,1,GK,GK,193,92.1,Right,0,4 ★,1★,Medium,Medium,87,87,91,89,57,86,29.0,27.23,15,13,25,55,11,34.04,30,14,11,59,46,61.64,54,60,51,86,35,63.96,68,77,43,80,16,44.66,29,30,12,70,47,70,13.97,17,10,11,100.0,87,87,91,86,89,65.41,99.8,"Jul 1, 2011",,2023,2011,9.0,47.9,167495,https://cdn.sofifa.com/players/167/495/20_240.png,https://sofifa.com/player/167495/,21,https://cdn.sofifa.com/teams/21/dark_240.png
14,T. Courtois,28,89,90,89,Real Madrid,Spain Primera Division,1,GK,GK,198,96.2,Left,1,3 ★,1★,Medium,Medium,84,89,74,88,48,85,56.0,19.68,14,14,13,33,12,23.4,13,19,20,35,23,61.21,42,52,61,84,45,56.08,56,68,38,70,17,28.98,23,15,13,44,27,66,19.85,20,18,16,95.45,84,89,74,85,88,57.21,93.98,"Aug 9, 2018",,2024,2018,2.0,119.0,192119,https://cdn.sofifa.com/players/192/119/20_240.png,https://sofifa.com/player/192119/,243,https://cdn.sofifa.com/teams/243/dark_240.png
15,Sergio Ramos,34,89,89,89,Real Madrid,Spain Primera Division,1,CB,CB,183,82.1,Right,0,3 ★,3★,High,Medium,71,70,76,73,88,85,24.5,85.58,66,65,92,82,69,81.06,65,74,76,83,83,81.47,72,70,78,92,66,90.54,79,93,81,85,64,98.34,90,88,73,71,92,88,96.69,85,88,90,10.45,11,8,9,7,11,97.5,92.97,"Aug 1, 2005",,2021,2005,15.0,50.2,155862,https://cdn.sofifa.com/players/155/862/20_240.png,https://sofifa.com/player/155862/,243,https://cdn.sofifa.com/teams/243/dark_240.png
16,Casemiro,28,89,89,89,Real Madrid,Spain Primera Division,1,CDM,CDM,185,83.9,Right,0,3 ★,2★,High,High,65,73,76,72,86,91,59.5,79.86,58,64,80,84,63,78.51,69,63,74,84,79,73.92,60,69,61,87,66,98.42,88,87,90,91,81,94.06,91,87,72,80,66,84,95.22,84,88,87,15.23,13,14,16,12,12,95.85,92.97,"Jul 11, 2013",,2023,2013,7.0,122.0,200145,https://cdn.sofifa.com/players/200/145/20_240.png,https://sofifa.com/player/200145/,243,https://cdn.sofifa.com/teams/243/dark_240.png
17,K. Benzema,32,89,89,89,Real Madrid,Spain Primera Division,1,CF ST,CF,185,81.2,Right,0,4 ★,4★,Medium,Low,74,85,81,86,40,76,53.0,97.48,75,88,91,86,86,85.96,87,81,73,73,90,83.62,77,72,79,91,69,90.09,84,79,78,80,79,86.22,63,39,90,87,84,90,32.72,47,24,18,9.32,13,11,5,5,7,91.15,88.76,"Jul 9, 2009",,2022,2009,11.0,108.7,165153,https://cdn.sofifa.com/players/165/153/20_240.png,https://sofifa.com/player/165153/,243,https://cdn.sofifa.com/teams/243/dark_240.png
18,N. Kanté,29,88,88,88,Chelsea,English Premier League,1,CDM CM,CDM,168,69.9,Right,0,3 ★,2★,Medium,High,77,66,76,81,86,82,51.0,75.06,68,65,54,85,56,71.49,79,49,49,79,80,90.52,79,76,82,91,92,85.81,71,77,96,72,65,91.69,90,91,72,79,54,85,97.06,89,90,85,12.27,15,12,10,7,10,93.65,93.98,"Jul 16, 2016",,2023,2016,4.0,96.9,215914,https://cdn.sofifa.com/players/215/914/20_240.png,https://sofifa.com/player/215914/,5,https://cdn.sofifa.com/teams/5/dark_240.png
19,Ederson,26,88,91,88,Manchester City,English Premier League,1,GK,GK,188,86.2,Left,3,3 ★,1★,Medium,Medium,86,82,93,88,63,86,53.5,28.15,20,14,14,57,18,33.4,23,15,20,59,40,69.4,64,63,60,87,48,61.49,70,66,41,78,18,40.86,38,27,20,70,17,70,19.12,29,15,8,98.86,86,82,93,86,88,66.23,100.0,"Jul 1, 2017",,2024,2017,3.0,103.0,210257,https://cdn.sofifa.com/players/210/257/20_240.png,https://sofifa.com/player/210257/,10,https://cdn.sofifa.com/teams/10/dark_240.png
20,R. Sterling,25,88,90,88,Manchester City,English Premier League,1,LW RW,LW,170,68.9,Right,2,3 ★,4★,High,Medium,93,81,79,90,45,67,72.5,82.38,78,85,46,84,67,82.34,90,77,63,69,88,100.0,96,90,94,90,94,80.63,78,57,79,65,79,78.86,59,30,92,82,69,80,54.04,47,53,47,14.32,15,12,12,15,9,91.15,91.37,"Jul 14, 2015",,2023,2015,5.0,139.6,202652,https://cdn.sofifa.com/players/202/652/20_240.png,https://sofifa.com/player/202652/,10,https://cdn.sofifa.com/teams/10/dark_240.png
21,H. Kane,26,88,89,88,Tottenham Hotspur,English Premier League,1,ST,ST,188,88.9,Right,1,4 ★,3★,High,High,68,91,80,80,47,83,71.0,96.11,75,94,85,81,85,84.04,80,80,68,83,84,79.09,66,69,69,90,73,95.5,91,79,84,84,86,90.74,81,35,93,83,90,91,47.79,56,36,38,12.27,8,10,11,14,11,93.78,90.16,"Jul 1, 2010",,2024,2010,10.0,140.2,202126,https://cdn.sofifa.com/players/202/126/20_240.png,https://sofifa.com/player/202126/,18,https://cdn.sofifa.com/teams/18/dark_240.png
22,J. Kimmich,25,88,90,88,FC Bayern München,German 1. Bundesliga,1,CDM RB,CDM,175,73.0,Right,2,4 ★,3★,High,Medium,71,72,86,84,81,79,65.0,87.64,91,66,72,87,67,85.11,83,85,61,86,85,85.99,77,66,84,88,84,90.77,78,79,95,67,84,90.02,89,82,80,84,44,85,90.07,82,84,79,13.64,8,15,7,15,15,97.97,94.98,"Jul 1, 2015",,2023,2015,5.0,112.1,212622,https://cdn.sofifa.com/players/212/622/20_240.png,https://sofifa.com/player/212622/,21,https://cdn.sofifa.com/teams/21/dark_240.png
23,S. Handanovič,35,88,88,88,Inter,Italian Serie A,1,GK,GK,193,92.1,Right,0,3 ★,1★,Medium,Medium,88,85,73,89,53,89,16.0,19.68,12,10,10,42,12,21.28,18,12,14,40,16,58.62,51,55,47,83,36,59.46,55,78,41,71,19,29.22,25,22,12,41,23,69,17.65,25,10,13,96.36,88,85,73,89,89,56.87,95.78,"Jul 1, 2012",,2021,2012,8.0,26.4,162835,https://cdn.sofifa.com/players/162/835/20_240.png,https://sofifa.com/player/162835/,44,https://cdn.sofifa.com/teams/44/dark_240.png
24,P. Dybala,26,88,89,89,Juventus,Italian Serie A,1,CF CAM,CAM,178,74.8,Left,1,3 ★,4★,Medium,Medium,85,85,84,92,43,63,71.0,92.68,82,84,64,87,88,92.77,91,88,88,75,94,94.18,89,82,92,84,90,86.04,82,75,78,60,87,82.66,48,42,85,87,86,84,44.12,32,48,40,5.91,5,4,4,5,8,93.01,90.76,"Jul 1, 2015",,2022,2015,5.0,122.5,211110,https://cdn.sofifa.com/players/211/110/20_240.png,https://sofifa.com/player/211110/,45,https://cdn.sofifa.com/teams/45/dark_240.png
25,K. Koulibaly,29,88,88,88,Napoli,Italian Serie A,1,CB,CB,188,88.9,Right,0,3 ★,2★,Medium,High,75,28,55,68,89,86,50.0,51.26,30,22,84,74,14,55.74,69,28,28,63,74,70.69,73,77,52,85,41,71.17,55,82,70,94,15,69.83,87,87,35,52,33,82,98.16,91,89,87,9.77,7,11,7,13,5,74.87,80.52,"Jul 1, 2014",,2023,2014,6.0,85.0,201024,https://cdn.sofifa.com/players/201/024/20_240.png,https://sofifa.com/player/201024/,48,https://cdn.sofifa.com/teams/48/dark_240.png
26,T. Kroos,30,88,88,88,Real Madrid,Spain Primera Division,1,CM,CM,183,76.2,Right,0,5 ★,3★,Medium,Medium,54,81,91,81,71,69,55.0,90.85,88,76,58,93,82,91.91,80,86,84,93,89,71.55,57,52,63,89,71,79.95,89,32,75,73,86,89.79,60,79,76,90,73,88,75.37,72,73,60,11.59,10,11,13,7,10,92.83,89.76,"Jul 17, 2014",,2023,2014,6.0,112.8,182521,https://cdn.sofifa.com/players/182/521/20_240.png,https://sofifa.com/player/182521/,243,https://cdn.sofifa.com/teams/243/dark_240.png
27,E. Hazard,29,88,88,88,Real Madrid,Spain Primera Division,1,LW ST,LW,175,73.9,Right,0,4 ★,4★,High,Medium,88,82,83,92,35,66,58.0,88.79,77,82,61,85,83,90.85,93,83,79,81,91,96.55,91,86,92,86,93,81.31,82,56,82,63,78,83.85,54,41,85,86,87,90,30.51,34,27,22,10.23,11,12,6,8,8,90.89,89.56,"Jul 1, 2019",,2024,2019,1.0,118.9,183277,https://cdn.sofifa.com/players/183/277/20_240.png,https://sofifa.com/player/183277/,243,https://cdn.sofifa.com/teams/243/dark_240.png
28,P. Aubameyang,31,87,87,87,Arsenal,English Premier League,1,ST LW,ST,188,79.8,Right,0,4 ★,4★,High,High,93,86,75,80,38,69,45.0,92.22,76,91,75,77,84,81.49,80,81,76,64,82,90.09,91,94,77,88,68,87.61,82,75,80,74,78,80.52,43,48,93,77,78,88,33.82,27,29,36,10.91,6,9,15,9,9,89.46,88.55,"Jan 31, 2018",,2023,2018,2.0,85.5,188567,https://cdn.sofifa.com/players/188/567/20_240.png,https://sofifa.com/player/188567/,1,https://cdn.sofifa.com/teams/1/dark_240.png
29,T. Alexander-Arnold,21,87,92,87,Liverpool,English Premier League,1,RB,RB,180,68.9,Right,5,4 ★,3★,High,Medium,80,66,87,80,80,71,60.0,83.52,93,56,69,85,62,90.64,77,88,85,89,87,84.27,77,83,74,83,74,83.33,80,66,88,62,74,88.12,74,82,76,84,55,81,88.6,79,83,79,12.73,14,15,14,6,7,95.85,93.17,"Oct 7, 2015",,2024,2015,5.0,115.5,231281,https://cdn.sofifa.com/players/231/281/20_240.png,https://sofifa.com/player/231281/,9,https://cdn.sofifa.com/teams/9/dark_240.png
30,A. Robertson,26,87,89,87,Liverpool,English Premier League,1,LB,LB,178,64.0,Left,2,2 ★,3★,High,High,82,62,80,80,81,76,53.0,75.06,90,57,67,82,32,76.17,80,82,38,76,82,86.21,79,85,78,84,74,82.21,78,62,95,65,65,89.79,85,82,77,79,55,83,91.18,83,84,81,11.36,11,8,10,7,14,91.84,92.57,"Jul 21, 2017",,2024,2017,3.0,102.0,216267,https://cdn.sofifa.com/players/216/267/20_240.png,https://sofifa.com/player/216267/,9,https://cdn.sofifa.com/teams/9/dark_240.png
31,Fabinho,26,87,89,87,Liverpool,English Premier League,1,CDM,CDM,188,78.0,Right,2,2 ★,3★,Medium,High,67,69,79,77,85,83,54.5,78.95,75,63,75,85,47,77.66,76,71,53,83,82,75.22,66,68,66,84,65,88.96,81,75,88,81,70,97.86,86,87,70,79,90,84,94.85,86,87,85,10.68,13,12,6,8,8,93.74,92.37,"Jul 1, 2018",,2023,2018,2.0,104.9,209499,https://cdn.sofifa.com/players/209/499/20_240.png,https://sofifa.com/player/209499/,9,https://cdn.sofifa.com/teams/9/dark_240.png
32,Roberto Firmino,28,87,87,87,Liverpool,English Premier League,1,CF,CF,180,76.2,Right,0,4 ★,5★,High,High,77,80,81,90,61,78,52.0,91.53,73,80,75,87,85,85.74,90,81,65,76,91,89.66,78,77,85,90,86,90.54,82,81,88,74,77,89.55,75,58,86,86,72,88,61.03,60,64,42,10.0,8,11,9,6,10,95.34,93.78,"Jul 6, 2015",,2023,2015,5.0,96.2,201942,https://cdn.sofifa.com/players/201/942/20_240.png,https://sofifa.com/player/201942/,9,https://cdn.sofifa.com/teams/9/dark_240.png
33,A. Laporte,26,87,90,88,Manchester City,English Premier League,1,CB,CB,188,84.8,Left,3,3 ★,2★,Medium,Medium,63,50,72,68,88,81,56.0,71.17,58,45,86,82,40,74.68,63,61,69,80,78,71.34,60,65,59,87,60,78.38,68,76,72,85,47,78.62,81,87,54,65,44,85,97.79,89,89,88,10.23,10,11,5,14,5,85.62,84.74,"Jan 30, 2018",,2024,2018,2.0,107.8,212218,https://cdn.sofifa.com/players/212/218/20_240.png,https://sofifa.com/player/212218/,10,https://cdn.sofifa.com/teams/10/dark_240.png
34,Bernardo Silva,25,87,88,87,Manchester City,English Premier League,1,RW CAM CM,RW,173,64.0,Left,1,3 ★,4★,High,High,81,77,83,92,51,67,60.0,84.9,85,79,51,86,70,87.45,92,84,67,76,92,93.53,85,78,94,85,92,78.83,76,51,93,54,76,84.56,69,49,85,85,68,87,54.41,49,59,40,12.27,9,10,14,12,9,91.71,90.56,"Jul 1, 2017",,2025,2017,3.0,115.5,218667,https://cdn.sofifa.com/players/218/667/20_240.png,https://sofifa.com/player/218667/,10,https://cdn.sofifa.com/teams/10/dark_240.png
35,Bruno Fernandes,25,87,90,88,Manchester United,English Premier League,1,CAM CM,CAM,178,68.9,Right,3,4 ★,4★,High,High,77,83,88,85,68,75,63.0,90.62,87,77,58,88,86,92.13,85,86,87,87,88,85.78,78,76,79,86,79,92.57,89,72,94,67,89,96.91,70,74,83,90,91,86,71.32,72,67,55,14.32,12,14,15,8,14,99.44,95.58,"Jan 30, 2020",,2025,2020,0.0,124.4,212198,https://cdn.sofifa.com/players/212/198/20_240.png,https://sofifa.com/player/212198/,11,https://cdn.sofifa.com/teams/11/dark_240.png
36,H. Lloris,33,87,87,87,Tottenham Hotspur,English Premier League,1,GK,GK,188,82.1,Left,0,1 ★,1★,Medium,Medium,89,82,68,90,63,84,27.0,21.51,13,10,10,50,11,24.47,10,11,10,50,34,69.18,65,62,55,85,54,50.23,51,74,41,43,14,32.78,31,27,10,30,40,65,20.96,29,10,18,93.86,89,82,68,84,90,58.77,95.58,"Aug 31, 2012",,2022,2012,8.0,51.3,167948,https://cdn.sofifa.com/players/167/948/20_240.png,https://sofifa.com/player/167948/,18,https://cdn.sofifa.com/teams/18/dark_240.png
37,H. Son,27,87,87,87,Tottenham Hotspur,English Premier League,1,LM CF,LM,183,78.0,Right,0,5 ★,4★,High,High,88,86,80,87,43,69,52.5,91.3,81,86,68,83,81,85.11,88,85,70,70,87,92.46,86,90,86,89,78,86.71,88,56,87,64,90,81.95,62,39,88,83,73,88,43.01,50,34,33,12.05,11,13,13,6,10,91.88,90.96,"Aug 28, 2015",,2023,2015,5.0,99.8,200104,https://cdn.sofifa.com/players/200/104/20_240.png,https://sofifa.com/player/200104/,18,https://cdn.sofifa.com/teams/18/dark_240.png
38,K. Navas,33,87,87,87,Paris Saint-Germain,French Ligue 1,1,GK,GK,185,79.8,Right,0,3 ★,1★,Medium,Medium,90,81,75,90,53,82,27.0,17.85,11,15,11,30,11,20.85,16,11,15,37,19,67.24,54,53,60,84,61,57.88,56,74,39,75,13,38.24,32,20,16,68,25,67,20.59,28,14,14,95.0,90,81,75,82,90,59.59,94.58,"Sep 2, 2019",,2023,2019,1.0,50.0,193041,https://cdn.sofifa.com/players/193/041/20_240.png,https://sofifa.com/player/193041/,73,https://cdn.sofifa.com/teams/73/dark_240.png
39,A. Di María,32,87,87,87,Paris Saint-Germain,French Ligue 1,1,RW LW,RW,180,68.9,Left,0,2 ★,5★,High,Medium,83,81,85,88,48,68,39.0,86.73,88,79,51,83,78,91.91,88,89,88,80,87,90.3,82,83,94,84,76,85.36,83,72,78,60,86,85.51,73,42,84,88,73,86,54.41,41,55,52,11.59,10,7,11,12,11,93.61,90.96,"Aug 6, 2015",,2021,2015,5.0,72.2,183898,https://cdn.sofifa.com/players/183/898/20_240.png,https://sofifa.com/player/183898/,73,https://cdn.sofifa.com/teams/73/dark_240.png
40,J. Sancho,20,87,93,89,Borussia Dortmund,German 1. Bundesliga,1,RM LM CAM,CAM,180,76.2,Right,6,3 ★,5★,High,Medium,83,74,81,91,37,64,69.5,85.35,83,81,38,88,83,80.85,92,81,48,68,91,93.75,86,81,91,87,90,73.87,70,51,77,67,63,74.35,44,39,83,87,60,84,38.6,32,41,32,11.82,7,11,10,11,13,85.75,86.35,"Aug 31, 2017",,2023,2017,3.0,132.1,233049,https://cdn.sofifa.com/players/233/049/20_240.png,https://sofifa.com/player/233049/,22,https://cdn.sofifa.com/teams/22/dark_240.png
41,W. Szczęsny,30,87,87,87,Juventus,Italian Serie A,1,GK,GK,196,89.8,Right,0,3 ★,1★,Medium,Medium,86,82,73,88,49,87,34.0,19.68,12,12,16,32,14,21.06,11,16,14,36,22,61.64,51,47,55,82,51,56.31,55,71,45,65,14,32.07,40,15,14,48,18,65,16.54,20,13,12,94.55,86,82,73,87,88,56.87,93.37,"Jul 19, 2017",,2024,2017,3.0,56.1,186153,https://cdn.sofifa.com/players/186/153/20_240.png,https://sofifa.com/player/186153/,45,https://cdn.sofifa.com/teams/45/dark_240.png
42,G. Chiellini,35,87,87,87,Juventus,Italian Serie A,1,CB,CB,188,84.8,Left,0,3 ★,2★,Medium,High,66,46,58,60,90,79,15.5,64.07,54,33,83,65,45,58.72,59,60,31,65,61,70.26,60,70,57,82,57,79.95,78,87,54,87,49,72.68,90,88,28,50,50,84,100.0,94,90,88,3.41,3,3,2,4,3,79.02,80.12,"Jul 1, 2005",,2021,2005,15.0,25.6,138956,https://cdn.sofifa.com/players/138/956/20_240.png,https://sofifa.com/player/138956/,45,https://cdn.sofifa.com/teams/45/dark_240.png
43,C. Immobile,30,87,87,87,Lazio,Italian Serie A,1,ST,ST,185,84.8,Right,0,4 ★,3★,High,Medium,84,88,67,83,39,77,48.5,90.16,55,93,81,80,85,72.55,83,70,51,53,84,88.15,82,85,75,90,77,89.64,86,77,78,77,80,87.65,77,40,93,71,88,86,36.4,34,33,32,10.68,6,8,15,12,6,88.82,87.95,"Jul 27, 2016",,2025,2016,4.0,82.5,192387,https://cdn.sofifa.com/players/192/387/20_240.png,https://sofifa.com/player/192387/,46,https://cdn.sofifa.com/teams/46/dark_240.png
44,L. Suárez,33,87,87,87,Atlético Madrid,Spain Primera Division,1,ST,ST,183,86.2,Right,0,4 ★,3★,High,Medium,70,90,82,83,51,83,31.5,98.17,80,92,84,83,90,87.87,84,86,82,77,84,83.19,72,68,76,92,78,92.12,89,69,78,85,88,91.69,87,41,91,84,83,85,51.47,57,45,38,34.77,27,25,31,33,37,100.0,92.17,"Sep 25, 2020",,2022,2020,0.0,64.6,176580,https://cdn.sofifa.com/players/176/580/20_240.png,https://sofifa.com/player/176580/,240,https://cdn.sofifa.com/teams/240/dark_240.png
45,A. Griezmann,29,87,87,87,FC Barcelona,Spain Primera Division,1,ST CF LW,ST,175,73.0,Left,0,3 ★,4★,Medium,Medium,79,85,84,88,57,72,50.5,97.25,83,88,83,84,87,91.28,87,86,85,82,89,91.59,80,79,91,92,83,90.54,81,90,86,63,82,90.74,73,49,89,85,86,89,59.56,59,54,49,14.32,14,8,14,13,14,98.79,93.37,"Jul 12, 2019",,2024,2019,1.0,103.5,194765,https://cdn.sofifa.com/players/194/765/20_240.png,https://sofifa.com/player/194765/,241,https://cdn.sofifa.com/teams/241/dark_240.png
